<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.02	13:00:00	1.37019	1.37116	1.36948	1.36998	4382	0	4
2026.02.02	14:00:00	1.36999	1.37064	1.36852	1.36876	5044	0	4
2026.02.02	15:00:00	1.36877	1.36878	1.36490	1.36513	5969	0	4
2026.02.02	16:00:00	1.36511	1.36767	1.36308	1.36678	6433	0	4
2026.02.02	17:00:00	1.36644	1.36644	1.36266	1.36278	8702	0	4
2026.02.02	18:00:00	1.36279	1.36565	1.36229	1.36527	7286	0	4
2026.02.02	19:00:00	1.36531	1.36626	1.36504	1.36596	4539	0	4
2026.02.02	20:00:00	1.36597	1.36612	1.36479	1.36498	3981	0	4
2026.02.02	21:00:00	1.36498	1.36611	1.36435	1.36586	3058	0	4
2026.02.02	22:00:00	1.36587	1.36673	1.36536	1.36653	3630	0	4
2026.02.02	23:00:00	1.36654	1.36680	1.36636	1.36656	1372	0	5
2026.02.03	00:00:00	1.36618	1.36639	1.36618	1.36625	613	0	63
2026.02.03	01:00:00	1.36623	1.36725	1.36581	1.36723	973	0	6
2026.02.03	02:00:00	1.36724	1.36803	1.36706	1.36800	2119	0	5
2026.02.03	03:00:00	1.36799	1.36859	1.36742	1.36859	2881	0	5
2026.02.03	04:00:00	1.36858	1.36861	1.36711	1.36726	2434	0	5
2026.02.03	05:00:00	1.36725	1.36886	1.36710	1.36846	2999	0	5
2026.02.03	06:00:00	1.36847	1.36938	1.36847	1.36872	2014	0	5
2026.02.03	07:00:00	1.36871	1.36916	1.36832	1.36894	2176	0	5
